sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,ads_clicked_last_30_days,content_downloads,social_shares,engagement_score,account_age_days
5,3.41,52.71,13,5,8,8,1,0,20,9,5,2,55.79,1152
8,24.44,42.03,7,7,3,7,0,0,7,8,3,3,82.39,1059
12,5.34,76.69,7,5,2,21,1,0,33,11,6,1,42.49,678
5,3.98,65.38,16,8,4,13,0,0,17,6,3,1,62.81,92
10,12.85,57.06,13,7,3,15,0,0,21,4,4,2,38.21,772
12,10.51,25.39,14,7,6,14,0,0,4,7,3,1,91.45,50
8,19.93,14.86,15,2,5,3,0,0,43,9,2,1,63.3,1161
6,6.81,36.47,14,9,2,3,0,0,16,5,6,4,84.81,104
7,26.47,64.74,14,3,3,19,0,2,43,6,3,5,72.85,989
8,29.84,47.77,10,6,4,19,0,0,25,3,4,2,55.92,373
9,6.45,51.42,8,5,6,22,2,0,35,3,6,3,56.02,1155
6,3.45,45.83,7,3,2,8,0,0,21,7,5,2,74.7,380
5,20.0,27.22,12,6,4,20,0,0,1,5,2,1,62.19,617
8,5.06,37.34,8,5,4,18,1,1,44,8,5,2,67.25,255
5,17.92,29.55,16,3,3,21,0,0,11,5,0,5,51.33,691
7,34.27,34.42,13,7,2,3,1,0,35,6,3,2,52.69,1130
7,16.36,65.07,8,9,7,11,0,0,29,8,1,3,73.52,618
6,16.89,74.7,6,6,6,24,2,0,5,9,1,1,100.0,24
10,13.69,70.42,9,4,2,18,0,0,14,4,5,2,51.37,37
7,10.02,41.47,7,5,4,16,0,0,34,5,2,0,68.99,306
6,13.24,27.44,16,2,4,19,1,0,44,4,2,1,70.46,1025
9,10.07,47.97,13,4,6,23,2,0,39,2,7,1,57.35,424
4,9.75,52.22,10,2,3,7,0,0,8,3,6,3,78.2,562
13,11.32,45.59,18,8,6,14,0,0,12,6,6,1,67.32,34
9,8.14,77.63,15,5,4,17,0,0,28,4,6,1,82.69,255
9,7.06,24.22,17,5,4,3,0,0,41,7,3,1,79.11,1021
7,16.42,32.61,14,9,6,19,0,0,2,5,2,3,72.71,649
11,3.73,67.78,9,9,2,17,0,0,33,5,1,2,35.2,631
7,9.71,42.66,15,5,6,8,0,1,22,4,7,2,44.53,270
8,6.52,26.01,16,5,2,9,2,0,38,7,4,3,71.47,96
7,9.81,40.61,10,4,5,11,0,0,39,3,5,0,57.15,986
18,27.97,96.2,18,4,4,4,1,0,43,4,4,1,55.54,657
9,13.45,29.45,18,10,7,16,0,0,22,3,4,4,68.26,535
8,14.39,31.3,12,4,5,5,0,0,18,8,2,3,39.1,82
11,10.65,52.53,7,9,5,20,0,0,36,9,3,3,54.6,420
5,7.11,33.97,15,6,8,6,0,0,22,4,3,1,95.65,453
3,28.53,71.31,12,4,5,14,0,0,2,8,5,2,71.31,847
8,28.76,41.49,13,6,6,5,1,0,26,5,1,2,59.79,824
9,3.71,21.55,14,5,3,14,0,0,12,5,4,1,83.57,332
5,14.16,73.75,14,3,5,6,0,0,29,7,3,0,57.69,196
10,31.83,58.74,13,7,3,11,1,0,42,3,1,6,51.78,189
11,24.4,45.43,16,9,8,8,0,1,5,5,3,2,50.22,164
9,7.9,49.39,14,3,1,13,1,0,32,5,7,2,75.46,321
12,7.81,41.19,12,6,5,22,2,0,3,4,1,5,30.84,522
7,12.42,76.37,11,5,3,14,0,0,37,8,5,2,43.1,913
9,38.01,19.16,11,10,5,13,0,0,35,7,4,3,43.8,561
9,19.36,54.3,5,5,3,15,0,0,23,6,4,2,83.76,830
8,33.17,60.68,11,4,7,17,0,0,33,10,4,3,94.83,1090
7,6.79,46.89,14,4,6,18,1,1,23,5,1,2,59.4,975
8,10.34,47.9,12,2,5,17,0,0,5,6,2,0,56.48,59
6,17.51,41.8,12,4,5,15,0,0,36,9,2,6,67.1,22
8,26.34,45.67,8,9,1,4,2,0,4,8,0,0,56.76,1098
5,23.81,42.71,12,4,5,24,1,1,44,8,4,3,75.24,153
11,17.66,50.51,14,5,8,6,1,0,7,7,4,2,62.56,334
7,9.46,63.57,13,6,4,7,0,0,3,6,3,3,59.02,677
10,16.43,38.6,19,3,6,16,0,1,15,11,3,0,45.31,1006
10,12.44,5.0,11,9,2,24,0,0,1,7,4,1,59.45,56
11,18.83,10.35,15,6,5,21,0,0,14,3,1,0,59.85,444
15,12.59,19.44,15,5,4,11,0,1,39,9,1,1,71.08,865
8,10.98,52.47,13,4,3,22,0,0,22,9,3,3,39.56,197
11,5.39,55.93,12,5,2,11,0,0,42,1,4,4,55.7,608
3,5.83,93.11,14,3,9,12,0,0,26,2,3,4,66.11,1161
7,15.82,52.95,15,1,4,5,1,1,29,6,5,1,53.92,879
6,15.91,43.81,13,7,4,18,0,0,44,3,1,1,92.94,1023
9,21.07,65.98,12,3,6,15,1,0,4,4,2,3,45.9,634
9,25.4,38.07,17,6,7,14,1,0,9,6,1,3,84.71,776
5,16.15,34.77,14,5,7,18,0,0,19,8,2,3,76.78,1173
3,13.04,6.06,19,5,4,18,0,0,17,6,2,1,65.79,130
7,12.42,31.07,12,3,8,24,1,0,13,3,3,3,47.78,646
13,21.75,57.3,13,5,5,17,2,0,34,6,0,4,79.61,170
12,8.38,46.04,6,5,6,22,0,0,11,4,2,4,74.54,579
6,7.01,38.98,10,5,8,6,0,0,40,8,3,2,66.99,1195
6,9.42,53.25,11,2,3,22,0,0,12,7,4,2,64.52,1180
9,19.69,54.39,14,3,3,11,0,0,41,6,4,1,65.32,830
16,3.22,34.91,9,6,5,3,0,0,28,9,1,2,75.9,1140
7,9.82,53.82,8,3,5,9,0,1,5,3,1,2,82.57,846
8,16.09,51.21,16,8,6,4,0,0,26,6,4,1,51.93,683
6,12.48,5.0,13,6,4,20,0,0,30,3,7,2,82.77,1048
5,7.57,24.11,12,3,5,7,1,0,14,11,3,3,81.31,444
3,32.47,51.59,6,9,3,5,0,2,26,7,2,2,68.16,1111
8,12.64,47.99,15,4,3,21,1,0,41,7,1,3,80.35,853
5,9.78,55.88,5,4,6,8,1,0,11,6,2,0,69.97,721
8,4.78,46.27,7,6,3,12,0,1,2,6,2,2,76.9,80
11,1.87,24.05,12,6,0,8,0,1,40,2,1,1,62.71,85
9,34.64,28.9,17,6,6,10,0,0,39,3,0,3,87.04,317
10,12.95,35.74,16,6,7,15,1,0,8,5,1,2,50.21,1021
7,15.71,57.07,9,5,2,5,0,1,1,5,3,2,74.99,180
13,14.05,16.52,15,5,2,18,0,0,38,2,4,0,59.01,1107
14,18.63,79.82,7,7,7,17,0,0,0,6,2,1,51.33,456
8,7.35,17.64,17,9,4,9,0,0,16,6,5,3,63.75,562
6,16.83,46.96,7,5,10,11,1,0,42,4,1,1,53.19,603
11,3.0,36.3,15,10,2,20,0,2,1,6,0,0,63.12,515
5,12.57,29.14,19,3,5,18,0,0,31,4,2,2,71.88,463
5,15.86,34.94,14,3,6,4,0,0,24,6,4,2,41.02,488
6,7.87,47.42,10,7,2,18,2,0,28,4,4,2,99.48,976
5,21.88,51.81,7,11,4,6,2,0,38,7,2,1,55.18,752
5,8.78,64.02,11,4,7,11,1,0,7,5,3,4,66.0,278
7,16.34,45.11,15,4,5,4,0,0,6,5,2,2,70.31,183
10,8.24,36.82,5,7,4,15,1,0,29,3,4,0,56.42,380
12,3.66,61.12,7,5,4,10,0,0,16,10,4,3,76.83,691
8,17.8,59.14,16,8,4,15,1,0,28,10,3,1,62.95,554
6,11.52,55.15,12,6,2,11,0,0,3,3,1,4,59.99,622
5,1.69,39.88,10,8,5,8,1,0,14,5,4,2,49.63,383
8,18.02,44.75,12,3,2,9,1,0,3,5,3,1,65.07,48
10,3.06,55.31,18,6,7,7,1,0,41,5,1,3,63.82,530
4,7.79,71.49,11,4,4,15,1,0,17,5,1,3,91.07,673
12,11.66,49.1,12,9,4,4,0,0,19,9,2,3,74.46,730
15,27.41,45.09,19,7,4,3,2,0,24,8,3,2,44.05,1149
11,23.92,41.19,16,5,3,10,0,0,5,8,3,1,59.41,58
9,19.63,17.3,14,4,7,9,1,0,3,6,4,1,58.58,69
8,12.79,39.5,15,4,3,11,0,0,23,5,3,1,80.57,902
11,19.66,48.9,13,5,2,3,0,1,22,4,3,2,48.91,1187
9,6.93,16.57,12,5,3,20,2,0,29,4,2,0,47.51,713
4,18.27,71.99,11,5,3,21,0,0,14,4,4,1,36.27,469
10,21.89,37.09,6,3,6,19,0,0,30,9,2,2,64.58,246
10,22.74,87.9,8,6,7,9,1,0,36,4,3,2,78.88,454
9,14.01,46.05,10,9,4,12,0,0,32,10,2,0,83.1,366
4,7.99,49.97,14,5,3,22,0,0,19,5,11,0,54.16,345
13,16.98,56.5,15,4,4,4,0,1,7,4,0,5,40.89,381
12,19.56,47.18,11,7,6,9,0,0,32,13,2,6,49.93,445
10,9.61,19.82,13,3,3,19,0,0,6,6,2,1,94.76,449
6,6.4,18.11,13,4,3,10,1,0,18,5,3,4,81.58,841
4,33.64,27.57,14,5,1,23,0,0,42,4,7,5,70.69,623
11,27.82,27.14,13,8,5,13,0,0,12,8,2,4,77.19,134
3,24.57,31.07,8,7,2,17,0,1,18,4,2,5,34.77,54
15,11.55,53.32,12,3,1,11,0,0,17,5,2,1,69.44,378
12,6.69,26.41,12,6,1,16,0,0,42,5,5,2,60.89,910
12,21.95,53.86,14,3,0,8,0,2,32,6,1,0,95.73,732
5,22.31,53.69,7,7,2,20,0,1,43,7,3,4,71.17,756
8,16.37,5.0,11,6,3,7,1,1,28,5,5,2,61.69,160
9,7.71,81.14,15,6,7,13,2,0,6,6,3,5,49.15,1141
6,59.19,57.55,8,7,6,24,0,1,3,1,2,2,66.21,1015
10,8.99,23.37,14,9,7,10,0,0,41,7,3,5,60.62,1064
7,24.49,52.19,10,9,1,10,1,0,27,7,6,0,76.28,257
6,6.21,36.34,13,4,4,3,0,0,41,7,3,1,50.23,657
9,4.81,28.63,12,2,3,14,0,2,22,12,2,1,72.39,48
4,4.35,32.47,12,3,3,24,1,0,42,6,5,2,86.46,1098
16,11.18,5.87,10,9,2,3,0,0,25,6,2,2,63.59,589
8,6.19,41.3,16,3,4,6,0,0,9,7,3,2,74.3,511
8,35.16,54.47,13,5,3,5,0,0,24,6,1,2,41.36,18
4,3.94,61.13,8,5,4,21,1,0,41,5,1,6,60.1,497
7,5.64,26.42,10,10,5,14,0,1,41,11,3,2,55.49,41
9,10.21,72.93,10,6,2,5,0,1,15,5,0,1,47.37,1031
4,1.8,68.85,14,3,5,18,2,0,3,3,2,0,75.16,65
10,7.12,62.57,11,5,4,16,1,0,36,7,3,2,42.69,716
4,17.15,33.22,6,8,6,8,0,0,40,3,2,1,55.33,480
13,2.46,35.91,14,1,3,4,0,0,21,2,1,1,42.31,128
13,17.14,76.03,17,1,4,9,0,0,27,5,4,5,69.34,891
5,21.82,61.58,19,4,3,15,0,0,17,9,2,4,53.98,1036
5,13.21,5.0,12,8,4,10,1,0,3,2,1,2,76.94,122
7,19.76,32.85,13,4,2,12,0,0,38,3,3,2,65.33,872
7,17.85,32.66,8,5,4,7,1,0,14,4,3,5,45.54,204
6,8.26,5.0,7,0,4,14,0,0,31,7,1,5,42.2,536
9,0.97,39.66,12,1,4,10,0,0,28,6,2,2,51.84,895
7,2.6,63.53,9,5,5,23,1,0,4,4,2,2,52.39,151
10,8.6,18.49,13,7,5,18,2,0,12,12,3,1,76.77,307
9,30.7,44.46,17,2,2,16,1,0,8,6,3,2,54.43,34
13,2.16,12.06,16,8,4,5,2,0,16,5,2,2,52.06,760
11,9.41,43.43,9,9,8,9,1,0,37,4,2,3,58.55,739
8,14.38,5.0,11,5,6,18,3,0,21,5,2,1,72.71,1178
8,17.54,41.23,19,5,5,14,1,0,31,4,3,4,67.8,426
9,16.82,51.09,11,8,4,16,0,0,3,3,1,1,72.77,535
5,5.84,44.11,11,5,3,18,0,0,15,7,1,1,84.9,375
9,10.71,33.07,13,7,0,19,0,0,7,7,3,2,67.8,1012
6,9.76,12.39,13,2,5,4,1,0,5,6,3,2,74.49,689
6,8.65,79.79,12,6,7,23,0,1,16,6,2,3,52.68,1184
9,12.38,39.76,7,4,3,5,0,0,39,3,6,1,83.47,686
9,17.03,19.84,6,4,4,11,1,1,12,8,4,2,72.01,1195
6,29.47,27.98,14,3,5,22,0,0,14,8,5,1,64.83,443
9,5.95,31.05,10,6,5,6,0,0,29,3,1,5,72.97,310
11,10.05,23.03,6,3,3,9,0,0,23,9,9,2,65.19,157
5,6.57,65.74,7,4,1,16,0,0,43,4,8,1,51.75,932
10,0.78,63.34,15,3,3,14,1,1,1,8,2,2,53.7,566
3,15.67,5.21,15,5,3,12,2,0,1,5,1,2,71.41,1137
8,20.54,53.33,9,2,2,24,1,0,43,10,4,3,92.83,1054
15,5.12,22.05,10,7,5,19,0,0,37,5,1,3,43.3,715
5,6.76,46.85,17,6,4,4,0,0,42,6,2,4,49.24,1038
6,13.91,38.21,11,3,3,18,0,0,17,6,1,2,58.75,976
15,21.14,47.58,10,7,3,22,0,0,36,12,3,1,23.17,624
7,1.47,56.58,13,6,5,10,0,0,4,9,0,2,56.8,19
12,6.89,62.18,15,7,5,16,0,0,35,5,1,0,83.15,129
5,8.94,66.81,10,6,2,18,0,0,33,4,5,4,49.09,1044
10,22.7,46.55,8,5,7,4,1,0,19,7,3,4,84.43,460
8,29.1,21.08,15,4,6,3,0,0,10,10,3,0,55.92,1066
11,12.7,51.05,16,8,8,8,1,0,34,13,3,1,56.47,1039
10,4.67,29.54,14,8,2,18,0,0,13,1,5,0,70.87,336
8,10.3,58.88,12,2,2,4,0,0,21,6,7,2,56.43,846
6,14.44,15.0,15,10,2,12,2,0,3,6,4,2,60.13,856
4,7.97,37.02,7,4,2,18,0,0,44,6,5,0,78.56,227
3,12.96,58.12,22,5,4,21,1,1,23,8,4,1,66.2,998
5,8.66,35.89,14,3,2,7,1,0,28,7,2,4,79.84,124
3,2.85,41.53,9,3,3,15,2,0,31,5,2,2,29.89,149
5,18.32,34.52,16,4,4,12,0,0,40,4,2,3,44.09,920
6,26.64,63.85,12,5,2,10,0,0,41,8,3,2,69.65,134
11,9.14,53.16,10,11,6,15,0,0,0,12,3,2,60.47,52
10,11.35,36.27,8,5,5,24,1,0,37,2,1,0,63.68,43
8,6.83,55.94,16,8,11,14,0,0,4,7,1,4,77.59,808
10,9.23,38.73,10,3,5,6,1,0,32,4,4,3,69.08,954
9,9.05,35.89,13,4,3,16,0,0,3,3,5,1,51.38,109
4,19.86,43.86,17,2,2,16,0,0,13,7,4,3,40.64,254
14,5.33,77.06,8,7,4,3,0,1,16,9,4,4,35.11,1131
8,24.48,49.45,8,5,0,11,1,0,5,4,5,0,72.33,1080
7,30.38,24.89,17,3,2,22,0,0,34,6,2,1,63.7,312
8,19.65,24.29,13,5,5,14,0,0,5,7,2,4,47.86,912
9,8.59,66.46,10,7,3,13,0,0,32,13,2,1,59.64,464
11,11.4,9.29,9,3,8,15,0,0,19,4,3,1,53.58,597
6,17.01,70.05,13,4,1,10,0,0,44,5,1,2,65.29,1190
4,13.28,5.0,12,2,4,18,2,0,12,11,7,2,52.33,149
8,6.42,77.67,6,2,6,4,0,1,25,8,1,1,81.16,607
10,4.03,47.45,5,1,5,3,0,0,29,2,4,1,48.16,796
9,18.41,33.51,16,1,3,7,2,1,43,4,2,1,64.72,747
8,13.2,66.79,16,10,3,10,0,0,11,4,4,3,77.99,850
9,9.38,28.43,14,5,4,15,0,1,36,6,3,2,61.54,166
6,2.93,44.87,18,8,9,10,0,0,5,6,3,1,76.02,1060
9,8.93,44.79,13,3,3,22,0,0,37,10,4,2,41.62,634
10,10.33,31.92,16,6,2,7,3,0,37,11,5,5,73.1,886
10,39.86,22.86,13,5,5,16,0,0,42,3,1,0,100.0,39
11,12.69,23.81,11,10,6,12,2,0,22,2,3,1,26.4,813
8,9.63,43.82,9,8,2,24,1,0,30,4,2,4,74.81,691
9,16.11,52.6,10,5,4,13,1,0,37,5,1,2,86.01,1164
8,8.25,28.45,8,10,2,8,0,0,34,5,3,1,43.15,526
4,5.46,63.14,17,5,6,9,1,0,29,7,7,1,68.05,244
